COURSE,TITLE,REQUISITES,DESCRIPTION
AASP297,Research Methods in African American Studies,Prerequisite: AASP101 or AASP202.  Restriction: Must be in African American Studies program.  Credit only granted for: AASP297 or AASP299R.  Formerly: AASP299R.,"Introduces African American Studies majors to the basic research skills, methodologies, sources, and repositories for studying African Diaspora. Students will be required to select a research topic, write a research proposal, develop an annotated bibliography, and in the process will be prepared for completing their senior thesis or other significant writing projects necessary to fulfill the requirements of the major."
AASP298,Special Topics in African American Studies,Repeatable to 6 credits if content differs.,"An introductory multi-disciplinary and inter-disciplinary educational experience to explore issues relevant to black life, cultural experiences, and political, economic, and artistic development."
AASP299,Selected Topics in African American Studies,Repeatable to 6 credits if content differs.,"An introductory multi-disciplinary academic exploration of the cultural, political, and economic issues relevant to Africans and African-Americans."
AASP301,Applied Policy Analysis and the Black Community,Prerequisite: AASP101. Recommended: Completion of one semester of statistics is recommended.,Development and application of the tools needed for examining the effectiveness of alternative policy options confronting minority communities. Review policy research methods used in forming and evaluating policies. Examination of the policy process.
AASP303,Computer Applications in African American Studies,"Prerequisite: STAT100, MATH107, MATH111, or SOCY201; or students who have taken courses with comparable content may contact the department.",Introduction to statistics and database processing software used in model estimation and simulation in policy analysis. Special emphasis on applications for applied research on policy problems confronting minority communities.
AASP305,"Theoretical, Methodological and Policy Research Issues in African American Studies","Prerequisite: AASP301; and (STAT100, MATH111, PSYC200, BMGT230, or SOCY201). Or students who have taken courses with comparable content may contact the department.  Formerly: AASP401.","Theories and concepts in the social and behavioral sciences relating to problems in minority communities. Issues include validity and soundness of theoretical arguments, epistemological questions of various methodologies and the relationship between policy making and policy research."
AASP310,African Slave Trade,Prerequisite: AASP202 or AASP100; or permission of BSOS-African American Studies department.  Formerly: AASP311.,The relationship of the slave trade of Africans to the development of British capitalism and its industrial revolution; and to the economic and social development of the Americas.
AASP312,Social and Cultural Effects of Colonization and Racism,Prerequisite: AASP202 or AASP100.,"A comparative approach to the study of the social and cultural effects of colonization and racism on black people in Africa, Latin America and in the United States--community and family life, religion, economic institutions, education and artistic expression."
AASP313,Black Women in United States History,"Restriction: Sophomore standing or higher. Cross-listed with: WGSS314. Credit only granted for: AASP313, WMST314 or WGSS314. Formerly: WMST314.","Black American women's history from slavery to the present. Focused on gaining a fuller understanding of the effect of race, class and gender on the life cycles and multiple roles of Black women as mothers, daughters, wives, workers and social-change agents."
AASP314,The Civil Rights Movement,Prerequisite: AASP100 or HIST157.,"Survey of the twentieth century civil rights movement from the desegregation of UM Law School through the National Black Political Congress in Gary in 1972. Major themes include leadership, legal and constitutional challenges, non-violence, Black Power, and Pan-Africanism."
AASP320,Poverty and African American Children,Credit only granted for: AASP320 or AASP298P. Formerly: AASP298P.,"The United States has high levels of child poverty compared to other industrialized nations. Poverty rates are particularly high among African American children. This course focuses on how poverty and race intersect to influence the development of children and youth. Specific topics that we will consider include definitions of poverty, theories about the causes of poverty, racial disparities in child poverty, family functioning in the context of poverty, neighborhood influences, risk and protective processes, and social policies and programs designed to mitigate the impact of poverty."
AASP358,Special Topics in Study Abroad III,Repeatable to 15 credits if content differs.,Special topics course taken as part of an approved study abroad program.
AASP360,Issues in African Development,"Credit only granted for: AASP398D, GEOG398A, GVPT359F, SOCY398Y, or AASP360.  Formerly: AASP398D.","An introduction to the study of development on the African continent. Students will have an opportunity to think critically about the ways in which Africa is portrayed in the academic literature, popular press, and media. Issues of focus include population dynamics, gender, health, migration, HIV/AIDS, and globalization with particular attention paid to the role of culture."
AASP361,Caribbean Women,"Cross-listed with: WGSS360. Credit only granted for: WGSS360, WMST360 or AASP361. Formerly: WMST360.","An interdisciplinary analysis of the lives and experiences of women across the Caribbean region, through an examination of their roles in individual, national, social and cultural formations. Special emphasis on contemporary women's issues and organizations."
AASP371,Black Feminist Thought,"Prerequisite: 1 course in AASP; or 1 course in WGSS. Cross-listed with: WGSS370. Credit only granted for: WMST370, WGSS370 or AASP371. Formerly: WMST370.","Examines the ideas, words and actions of Black women writers, speakers, artists, and activists in the United States."
AASP395,Fundamentals of Quantitative Research in Socio-Cultural Perspective,Restriction: Must be in African American Studies program; and junior standing or higher.,Introduction to quantitative methods for African American Studies majors in the cultural and social analysis concentration. Basics of survey design and experimental design and data analysis and use of statistical software programs.
AASP396,Independent Study Non-Thesis Option,Prerequisite: AASP386 and AASP297.  Restriction: Must be in African American Studies program.  Credit only granted for: AASP396 or AASP397.,"A research seminar that allows African American Studies majors to complete an independent study research project in lieu of completing the AASP397: Senior Thesis. Students will examine various concepts of race, gender, labor and ethnicity in the seminar lecture component to be applied toward their specific research projects."
AASP397,Senior Thesis,Restriction: Permission of BSOS-African American Studies department.,Directed research in African American Studies resulting in the completion and defense of a senior thesis.
AASP398,Selected Topics in the African Diaspora,Repeatable to 6 credits if content differs.,Analysis of the historical experiences and cultures of Africans in the diaspora.
AASP399,Research in African-American Studies,"Prerequisite: Two of the following courses: AASP100, AASP101, AASP200, or AASP202. Recommended:  AASP210 or equivalent. Restriction: Must be in the Africa-American Studies major; and must have completed 30 credits; and must have earned a minimum cumulative GPA of 2.00. Repeatable to 6 credits.","African American Studies research labs are the settings in which the most recent scholarly work of each faculty member takes place with the enterprise of conducting and disseminating research. Faculty members operate as the team leader and faculty mentor working with undergraduate students around a specific research topic or project. Students will have the opportunity to assist with reviewing literature, data gathering, data management, coding analysis, and the preparation of conference presentations and scholarly publications while advancing their own scholarship and interests, cultivating integrative skills, and gain training in a specialized aspect of the African American Studies discipline, which may not be otherwise available from other experiences on campus."
AASP400,Directed Readings in African American Studies,Prerequisite: AASP202 or AASP100.,The readings will be directed by the faculty of African American Studies. Topics to be covered will be chosen to meet the needs and interests of individual students.
AASP401,Research Directions in African-American Studies,Restriction: Must have earned a minimum of 90 credits; and must be major in African-American Studies.,"Utilizing a pro seminar format, this course offers an overview of recent research on the experiences of African Americans and the African diaspora. The course  will cover selective topics from research portfolios of department faculty related to the status of African Americans and the diaspora across a number of topics. Students will read recent original research studies and discuss with the authors both the theoretical underpinnings of the research, the methods and evaluate the interpretations. This course fulfills the capstone requirement for African American studies majors and certificate students by providing an opportunity to consolidate and integrate a range of ideas encountered in the curriculum."
AASP402,Classic Readings in African American Studies,Prerequisite: AASP202 or AASP100.,"Classic readings of the social, economic and political status of blacks and other minorities in the United States and the Americas."
AASP411,Black Resistance Movements,Prerequisite: AASP100.,A comparative study of the black resistance movements in Africa and America; analysis of their interrelationships as well as their impact on contemporary pan-Africanism.
AASP441,"Science, Technology, and the Black Community","Prerequisite: HIST255, AASP202, or AASP100; or permission of BSOS-African American Studies department.","Scientific knowledge and skills in solving technological and social problems, particularly those faced by the black community. Examines the evolution and development of African and African American contributions to science. Surveys the impact of technological changes on minority communities."
AASP443,Blacks and the Law,"Prerequisite: HIST255, AASP202, or AASP100; or permission of BSOS-African American Studies department.","The relationship between black Americans and the law, particularly criminal law, criminal institutions and the criminal justice system. Examines historical changes in the legal status of blacks and changes in the causes of racial disparities in criminal involvement and punishments."
AASP468,Special Topics in Africa and the Americas,Repeatable to 6 credits if content differs.,"Cultural, historical and artistic dimensions of the African experience in Africa and the Americas."
AASP478,Humanities Topics in African American Studies,Repeatable to 6 credits if content differs.,"Advanced studies in the humanities, often requiring prerequisites, focusing on the literary, artistic and philosophical contributions of Africans and African Americans."
AASP479,Special Research in African-American Studies,Recommended: AASP210. Restriction: Permission of BSOS- African American Studies department; and sophomore standing or higher. Repeatable to 9 credits.,Supervised research activity within the African American Studies Department. This course is for both majors and non-majors who seek to work for a faculty member on their research project(s) and/or work in their research lab as a Research Assistant (RA). The purpose of this course is to expose undergraduate students to theories and methods used to understand the lives and experiences of Black people across the diaspora via hands-on/applied research experience. A faculty member must agree to supervise your research activity before students can enroll for course credit.
AASP493,Feminist and Nationalist Thought in Black Communities,Prerequisite: AASP101 or AASP100.  Credit only granted for: AASP493 or AASP499W.  Formerly: AASP499W.,"The historical and theoretical foundations of feminist and nationalist thought in Black Communities will be examined. Further, we will discover why feminist and nationalist thought has been routinely ignored or misrepresented as disparate, if not oppositional, themes in Black intellectual and political life."
AASP498,Special Topics in Black Culture,Prerequisite: AASP202 or AASP100.  Repeatable to 6 credits if content differs.,"Advanced study of the cultural and historical antecedents of contemporary African and African American society. Emphasis on the social, political, economic and behavioral factors affecting blacks and their communities. Topics vary."
AASP499,Advanced Topics in Public Policy and the Black Community,Prerequisite: AASP301; or permission of BSOS-African American Studies department.  Repeatable to 6 credits if content differs.,"Examination of specific areas of policy development and evaluation in black and other communities. Application of advanced tools of policy analysis, especially quantitative, statistical and micro-economic analysis."
AAST200,Introduction to Asian American Studies,Cross-listed with: AMST298C. Credit only granted for: AAST200 or AMST298C.,"The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective."
AAST201,Asian American History,Cross-listed with: HIST221. Credit only granted for: AAST201 or HIST221.,"Introduction to the history of Asian Americans and Asians in the United States and the Americas and to the field of Asian American Studies, from an interdisciplinary perspective. Topics include theories of race and ethnicity; Asian migration and diaspora to the Americas; Asian American work and labor issues; gender, family, and communities; nationalism and nativism, and anti-Asian movements; Asian Americans in World War II, the Cold War, and the issues in the civil rights & post-civil rights era."
AAST222,Immigration and Ethnicity in the US,"Cross-listed with: SOCY322. Credit only granted for: AAST322, SOCY222, HIST322 or SOCY322. Formerly: AAST222, SOCY222.","Explores historical and contemporary Asian immigration to the US in comparison to and in the context of other immigrant groups. From low-skilled laborers to highly-skilled professionals, Asian and other immigrants have been an integral part of the shifting US economy and society since its inception. The course includes theories on why immigration occurs, determinants of its continuation, the uses of migrant labor, and immigrant adaptation and settlement. The second part of the course focuses on theories of ethnicity and racial formation and how immigrants develop and challenge the definitions of race, ethnicity, the ""other"", and ultimately, who is American. Students will also have the opportunity to gain first-hand knowledge of the immigrant experience through a life history interview project."
AAST233,Introduction to Asian American Literature,Cross-listed with: ENGL233. Credit only granted for: ENGL233 or AAST233.,A survey of Asian American literature with an emphasis on recurrent themes and historical context.
AAST262,Asian American Psychology,"Cross-listed with: PSYC262. Credit only granted for: PSYC262, AAST262 or PSYC489Z. Formerly: PSYC489Z.","An overview of how socio-cultural influences impact the development and psychological health of Asian Americans. Other topics include how minority group status, adaptation and identity development influence various aspects of psychological functioning; the role of historic systematic racism; and, how the COVID-19 pandemic has negatively impacted Asian Americans. Students develop a deeper understanding of the role of stereotypes and racism, acculturation, racial identity development, cultural values, gender socialization, behavioral norms, family roles, stressors and social support systems on the mental health, well-being and health of Asian Americans."
AAST298,Special Topics in Asian American Studies,Repeatable to 6 credits if content differs.,"An introductory multidisciplinary and interdisciplinary educational experience to explore issues relevant to Asian American life, cultural experiences; and political, economic, and artistic development."
AAST310,Introduction to Comparative Ethnic and Racial Studies,"Cross-listed with: AMST310. Credit only granted for: AMST310, AAST398F, AAST310, or AMST328L. Formerly: AMST328L and AAST398F.","Introduces students to the study of race and ethnicity in the United States.  The class is organized according to the following five units: (1) Introduction; (2) Key concepts; (3) Mechanisms of racial formation; (4) Prevailing myths about race; and (5) Contemporary issues related to race and ethnicity. Through readings, film clips, and presentations, we will explore how the concept of race has developed and endured over time and become familiar with key concepts, such as ""race"" and ""intersectionality"". We will attempt to better understand how race is associated with other forms of difference, such as class, gender and ethnicity. We will identify and confront the prevailing myths about race and ethnicity in the United States. Finally, we examine the ways in which contemporary issues reveal the dynamics of race and ethnicity."
AAST351,Asian Americans and Media,"Credit only granted for: AAST351, AAST398M or AAST398N. Formerly: AAST398M, AAST398N.","From yellow peril invaders to model minority allies, Asian Americans have crafted their own dynamic cultural expressions in a number of media from film, television, and music to fashion, sports, and food that reveal and contest the contradictions of the U.S. nation-state. Asian American culture also uniquely sits at the nexus of immigration flows and digital technologies, providing a transnational lens to view the US place in the world. This advanced course, then, will introduce students to the study and practice of Asian American cyktyre as multiple , hybrid, and heterogeneous. It will do so through three sections: section one will introduce students to classical, cultural, and media concepts as well as relevant keywords outlined by Asian American Studies scholars; section two will review the work of Asian American cultural theorists; section three will focus on analyses of particular Asian American cultural productions. In doing so, students will gain an understanding of the shifting and interlocking tensions among the local, the national, and the global that form the cultural geographies of Asian America."
AAST355,Asian Americans in Film,"Cross-listed with: AMST328W. Credit only granted for: AAST355, AAST398L or AMST328W. Formerly: 398L.","Explores how Asian Americans have historically been represented in the U.S. by Hollywood, and in turn, how independent and Hollywood Asian American filmmakers have represented themselves. It covers the history of racial, gendered, and sexualized representations of Asian Americans in Hollywood, as well as Asian American filmic responses within and outside Hollywood. It also introduces how four basic tools of film analysis mise-en-scene, cinematography, editing and sound work together to create meaning in moving images. It examines how these elements are put together in three different types of films by Asian American filmmakers: narrative, documentary, and experimental. How films function in society to circulate ideas that reproduce and challenge stereotypes about Asian Americans."
AAST363,Filipino American History and Biography,"Cross-listed with: AMST323. Credit only granted for: AAST363, AMST323, AAST398D, or AMST328J. Formerly: AAST398D.","Focus is placed on Filipino American experiences with an emphasis on identity, community building and organizing to influence public policy We will cover pertinent events from the US and Philippine history in order to understand the impact of colonialism, migration, immigration and assimilation on Filipino Americans."
AAST378,Experiential Learning,Restriction: Permission of UGST-Undergraduate Studies.  Repeatable to 6 credits.,Field experience/internship in professional organizations and appropriate private and governmental agencies serving the Asian American community.
AAST388,Independent Research,Restriction: Permission of UGST-Undergraduate Studies.  Repeatable to 6 credits if content differs.,"Directed, independent study in Asian American Studies resulting in the completion of an original research paper."
AAST394,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AMST324, IMMR394. Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394. Formerly: AAST398E.","An interdisciplinary course examines the experiences of children of Asian immigrants in the U.S., focusing on intergenerational dynamics in the Asian immigrant family, their intersections with race, gender, class, sexuality, and religion, and how these shape second-generation Asian American life. Topics include identity and personhood, the model minority myth and education, work and leisure, language and communication, filiality and disownment, mental health and suicide."
AAST398,Selected Topics in Asian American Studies,Repeatable to 6 credits if content differs.,Study of a specific theme or issue involving the Asian America experience.
AAST420,Asian American Women: The Social Construction of Gender,"Restriction: Must not have completed WMST420. Cross-listed with: WGSS420. Credit only granted for: AAST420, WMST420 or WGSS420.","Examines the intersection of gender, race and class as it relates to Asian American women in the United States; how institutionalized cultural and social statuses of gender, race, ethnicity and social class produce and reproduce inequality with implications for Asian Americans and the broader society."
AAST421,Asian American Public Policy,"Cross-listed with: AMST418N. Credit only granted for: AAST421, AAST498M or AMST418N. Formerly: AAST498M.","Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations."
AAST424,Sociology of Race Relations,Prerequisite: 6 credits in SOCY courses; or permission of UGST-Undergraduate Studies. Cross-listed with: SOCY424. Credit only granted for: AAST424 or SOCY424.,"Analysis of race-related issues, with a primary focus on American society. The historical emergence, development, and institutionalization of racism; the impact of racism on its victims; and racially based conflict."
AAST440,South Asian American Literature and Culture,Credit only granted for: AAST440 or AAST498W. Formerly: AAST498W.,"Examines writing by South Asian American authors and authors writing about South Asian American issues. It explores major South Asian diaspora themes, considering how migration, war, the events of 9/11, global capitalism, and the changing socio-political and racial scene have affected South Asians in the United States. We will use a transnational approach to consider how writers and filmmakers explore gender, class, religious, caste, and other differences amongst South Asian Americans. We will also examine the place of South Asian Americans in relation to other Asian American populations. We will consider how South Asian American texts disrupt traditional literary classifications based on national identities by reflecting the complex global conditions, imperialistic and capitalistic expansion, and interconnectedness of peoples, nations, and cultures that have transformed American literature and conceptions of American identity."
AAST443,Asian American Politics,"Cross-listed with: AMST498J, GVPT368C. Credit only granted for: AAST498T, AAST443, GVPT368C or AMST 498J. Formerly: AAST498T.","Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape."
AAST498,Advanced Topics in Asian American Studies,Repeatable to 6 credits if content differs.,"Advanced study of the cultural and historical antecedents of contemporary Asian American society. Emphasis on the social, political, economic, and behavioral factors affecting Asian Americans and their communities."
AAST499,Senior Thesis,Prerequisite: AAST201 and AAST200.  Restriction: Permission of UGST-Undergraduate Studies; and must be in Asian American Studies program.  Repeatable to 6 credits if content differs.,"Under the supervision of faculty, research regarding a specific topic of the Asian American experience will be completed."
BMGT099,Internship Seminar,Restriction: Must have earned a minimum cumulative GPA of 2.0 (undergraduates) or 3.0 (graduate students); and must be in one of the following programs (Business and Management (Master's); Business and Management (Master's)) . Or permission of instructor; or permission of BMGT-Robert H. Smith School of Business.,"Complements students' supervised work experiences. Involves exploring career options, developing professional work skills, examining the relationship between internship and academic coursework. Course may be repeated."
BMGT160,The Intentional Self,"Credit only granted for: BMGT160, BMGT198A, or BMGT198B.","As you navigate adulthood, you will constantly be making decisions that impact your personal and professional well being and success. Making these life choices with intention and a perspective of your whole self will increase your life  satisfaction. In this course, you will examine who have been, who you are, and who you want to become. We will be exploring the six pillars of the  whole self including purpose/character, relationships, wellness, community, prosperity, and nature and creating a vision for your future self."
BMGT190,Introduction to Design and Quality,Restriction: Must be in the Quest program. Cross-listed with: ENES190. Credit only granted for: BMGT190 or ENES190.,"QUEST students learn and apply design practices to design new products and services. Working in multidisciplinary teams, students use quality and process improvement methods to identify, analyze, and recommend solutions to real-world problems."
BMGT198,Special Topics in Business and Management,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.  Repeatable to 6 credits if content differs.,Introductory special topics in business and management.
BMGT201,Introduction to Business Computing,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business; and must not be in Computer Science program.,"Basic literacy course using common business computer-based applications. Considers the use of computing applications such as Microsoft Excel, Access and PowerPoint in problem solving."
BMGT210,Foundations of Accounting for Non Business Majors,Restriction: Must not have completed BMGT221; and must not be in a major in the R.H. Smith School of Business.  Credit only granted for: (BMGT220 and BMGT221) or BMGT210.  Additional information: Does not apply to a Smith School degree. Students pursuing a Smith School minor who have completed both BMGT220 and BMGT221 may substitute these courses for BMGT210.  Credit will not be given for both BMGT210 and the combination of BMGT220 and BMGT221.,"Provides an understanding of the common statements that report a company's profitability and financial health, and are useful to all economic agents who are engaged with the firm.  Students will also recognize and understand managerial accounting as a system for accumulating and modeling information to support decision-making."
BMGT221,Principles of Accounting II,Prerequisite: BMGT220.,Basic theory and techniques of accounting for managerial decision making. Involves the introduction of the corporation and manufacturing operations. Includes cost-volume-profit analysis and capital budgeting. Introduces the topics of income taxation and international accounting.
BMGT230,Business Statistics,"Prerequisite: MATH113 or MATH115; or must have math eligibility of MATH120 or higher. Restriction: Must not have completed ENCE302, ENME392, STAT400, BMGT231, or ENEE324.","Introductory course in probabilistic and statistical concepts including descriptive statistics, set-theoretic development of probability, the properties of discrete and continuous random variables, sampling theory, estimation, hypothesis testing, regression and decision theory and the application of these concepts to problem solving in business and management."
BMGT231,Statistical Models For Business,"Prerequisite: MATH141; or permission of BMGT-Robert H. Smith School of Business.  Credit only granted for: BMGT231, ENEE324, ENME392 or STAT400. Courses are not interchangeable. Please consult your advisor.","An introductory course in statistical concepts, including probability from a naive set theory approach, random variables and their properties and the probability distributions of selected discrete and continuous random variables. The concepts of sampling and sampling distributions and the application of these concepts to estimation and hypothesis testing are included as are brief surveys of the regression and ANOVA models."
BMGT264,SBLF Capstone Professional Practicum,"Prerequisite: BMGT162, BMGT262 and BMGT263.","Provides students in the Smith Business Leadership Fellows Program (SBLF) with a capstone opportunity to learn in teams in a real-world setting. Companies engage teams of SBLF students with meaningful organizational challenges and dedicate resources to help students address these problems. Student teams enhance their skills in critical thinking, collaboration, negotiation, quality management and communication.  These teams then apply these skills to offer value to a client. In the process, students will improve their teamwork skills."
BMGT298,Special Topics in Business and Management,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.  Repeatable to 6 credits if content differs.,Introductory special topics in business and management.
BMGT299,Student Initiated Special Topics,Repeatable to 3 credits if content differs.,Student initiated special topics in business and management.
BMGT301,Introduction to Information Systems,"Restriction: Must be in a major in BMGT-Robert H. Smith School of Business. Additional information: CMSC majors will not receive credit for this course towards their upper level concentration in their CMSC major. All BMGT majors, including students who are a double major in CMSC, must complete BMGT301 for their BMGT degree.","Comprehensive overview of information systems (IS), which explores the strategic and tactical nature of IS. The basic concepts in analyzing and designing information systems for business applications will be presented. Aspects of data management such as databases, data warehousing, data analysis, and data mining will be analyzed, and the basics of web page and web site design will be outlined. Students will also be introduced to modern information systems infrastructure such as telecommunications, networks, and information systems security. Knowledge of Excel or a similar spreadsheet tool."
BMGT302,Essential Programming Skills for Business Analytics,Prerequisite: BMGT301; or permission of BMGT-Robert H. Smith School of Business. Restriction: Must be in a major in BMGT-Robert H. Smith School of Business; and must not be in the Computer Science major.,"The course introduces structured and object-oriented programming and its applications in business functions and analytics. Students will apply problem-solving skills to create software solutions using programming logic and data structures. The course especially emphasizes learning by doing exercises using a modern, high-level programming language and industry standard software."
BMGT310,Intermediate Accounting I,Prerequisite: BMGT221.,Comprehensive analysis of financial accounting topics related to financial statement preparation and external reporting.
BMGT311,Intermediate Accounting II,Prerequisite: BMGT310.,Continuation of BMGT310.
BMGT313,Financial Statement Analysis,Prerequisite: BMGT221.,"Provides students with the tools to conduct a financial statement analysis, which is part of an overall business analysis. Involves understanding and using the information that financial statements are communicating to users."
BMGT321,Managerial Accounting,Prerequisite: BMGT221.,"A study of the basic concepts of product costing and cost analysis for management planning and control. Emphasis is placed on the role of the accountant in organizational management, analysis of cost behavior, standard cost budgeting, responsibility accounting and relevant costs for decision-making."
BMGT323,Taxation of Individuals,Prerequisite: BMGT221.,"Federal taxation of individuals focusing on income, exclusions, deductions, depreciation, credits and capital transactions. Property coverage includes the tax consequences of sales and dispositions of investment and business assets. Both tax planning and compliance issues are covered."
BMGT326,Accounting Systems,Prerequisite: BMGT221; and (BMGT201 or BMGT301).,A study of accounting systems and computer and communications technology.
BMGT332,Quantitative Models for Management Decisions,Prerequisite: BMGT231 or BMGT230; or students who have taken courses with comparable content may contact the department.,"The aim of this course is to introduce management science techniques for informed decision-making that can be applied in spreadsheet models to assist in the decision-analysis process. Models include Linear Programming, Transportation and Assignment problems, network flow models, Integer and non-linear programming, Simulation and Decision Trees."
BMGT340,Business Finance,Prerequisite: BMGT220; and (BMGT231 or BMGT230).,"Topics include: the principles and practices involved in the organization, financing and rehabilitation of business enterprises; the various types of securities and their use in raising funds, apportioning income, risk and control; intercorporate relations; and new developments. Emphasis on solution of problems of financial policy faced by management."
BMGT341,Financial Markets,Prerequisite: Must have completed or be concurrently enrolled in BMGT340.,"Shows the interconnectedness of the markets. The role of the Central bank and monetary policy is included in this context. Students develop an understanding of: (i) the determination of interest rates; (ii) financial instruments, markets and institutions; (iii) the impact of monetary policy on institutions; and (iv) how financial innovations create markets."
BMGT342,Wall Street Finance,Prerequisite: BMGT340.,"Using concepts and tools of finance, students will examine a wide range of business problems and explore possible solutions. The course is designed to improve a student's problem solving capabilities, business writing and communication skills, teamwork, and planning skills. Students will also gain experience in analyzing issues frequently faced by financial decision-makers."
BMGT343,Investments,Prerequisite: BMGT340.  Credit only granted for: BMGT343 or ECON435. Additional information: This course cannot be used to fulfill any requirements for majors in Economics.,"An introduction to financial investments. Topics include: securities and securities markets; investment risks, returns and constraints; portfolio policies; and institutional investment policies."
BMGT345,Foundations of Financial Management for Non Business Majors,Prerequisite: BMGT210 or BMGT220.  Restriction: Must not have completed BMGT340; and must not be a major in the R.H. Smith School of Business. Credit only granted for: BMGT345 or BMGT340.  Additional information: Course does not apply to a Smith School degree. BMGT340 may substitute for BMGT345.,"Provides students an overview of financial management.  Students will understand how a business allocates financial resources in an uncertain environment to maximize shareholder value.  In addition students will learn the following: how to apply accounting principles to corporate finance; how to value assets, projects, companies and investment securities; understand the relationship between risk and return and how it impacts investment and corporate decisions; how to calculate a company's cost of capital, and develop an intuitive comprehension of financial concepts and analysis."
